2110807;805
2110906;2522
2111029;2098
2111102;14722
2111409;3556
2111532;1594
2111607;2311
2111953;925
2112001;1123
2112274;1254
2112456;4821
2112506;10411
2200202;10481
2201051;1297
2201150;1882
2201507;5229
2201929;1096
2201945;1260
2202026;1548
2202075;506
2202109;1030
2202117;1186
2202174;1659
2202455;1019
2202703;8670
2202802;1017
2202851;1045
2203230;973
2203404;1064
2203420;827
2203453;2194
2203503;2077
2203701;17443
1100023;10481
1100064;619
1100148;1797
1100254;3199
1100262;203
1100296;420
1100346;1485
1100379;807
1100502;716
1100700;822
1100809;2490
1100940;1270
1101104;642
1101302;724
1101401;705
1101492;1064
1200054;1381
1200104;6516
1200203;21985
1200344;2037
1200500;6673
1200807;2649
1300300;11415
1300508;5068
1300904;2278
1301209;11142
1301308;3406
1301654;2429
1301852;9718
1301902;20147
